YEARMAKE,MODEL,TRIM,STOCK,VIN,@QR,QRYEARMODEL,QRSTOCK,@QR2,MISC
2018 Honda,CR-V,Touring,2018 CR-V - 191502A,USED - 7FARW2H98JE032660,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_210.PNG,2018 CR-V - 191502A,USED - 7FARW2H98JE032660,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_210.PNG,2018 CR-V - 191502A - USED - 7FARW2H98JE032660
2019 Honda,Pilot,AWD EX-L,2019 Pilot - 251176A,USED - 5FNYF6H53KB034958,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_211.PNG,2019 Pilot - 251176A,USED - 5FNYF6H53KB034958,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_211.PNG,2019 Pilot - 251176A - USED - 5FNYF6H53KB034958
2021 Honda,CR-V,EX-L,2021 CR-V - 250467A,USED - 7FARW2H85ME012829,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_212.PNG,2021 CR-V - 250467A,USED - 7FARW2H85ME012829,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_212.PNG,2021 CR-V - 250467A - USED - 7FARW2H85ME012829
2017 Honda,Accord,Touring,2017 Accord - 251262A,USED - 1HGCR3F99HA028347,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_213.PNG,2017 Accord - 251262A,USED - 1HGCR3F99HA028347,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_213.PNG,2017 Accord - 251262A - USED - 1HGCR3F99HA028347
2017 Honda,Civic,EX-T,2017 Civic - 251300A,USED - 2HGFC1F37HH637842,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_214.PNG,2017 Civic - 251300A,USED - 2HGFC1F37HH637842,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_214.PNG,2017 Civic - 251300A - USED - 2HGFC1F37HH637842
2012 Honda,Civic,EX,2012 Civic - PK1580,USED - 19XFB2F8XCE087690,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_215.PNG,2012 Civic - PK1580,USED - 19XFB2F8XCE087690,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_215.PNG,2012 Civic - PK1580 - USED - 19XFB2F8XCE087690
2012 Honda,Civic,LX,2012 Civic - 251145B,USED - 19XFB2F50CE076459,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_216.PNG,2012 Civic - 251145B,USED - 19XFB2F50CE076459,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_216.PNG,2012 Civic - 251145B - USED - 19XFB2F50CE076459
2017 Kia,Forte,S,2017 Forte - 251226A,USED - 3KPFL4A78HE056839,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_217.PNG,2017 Forte - 251226A,USED - 3KPFL4A78HE056839,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_217.PNG,2017 Forte - 251226A - USED - 3KPFL4A78HE056839
2026 Honda,Passport,TrailSport Elite,2026 Passport - 260025,NEW - 5FNYF9H82TB017839,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_218.PNG,2026 Passport - 260025,NEW - 5FNYF9H82TB017839,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_218.PNG,2026 Passport - 260025 - NEW - 5FNYF9H82TB017839
2026 Honda,Passport,TrailSport Elite,2026 Passport - 260026,NEW - 5FNYF9H89TB017823,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_219.PNG,2026 Passport - 260026,NEW - 5FNYF9H89TB017823,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_219.PNG,2026 Passport - 260026 - NEW - 5FNYF9H89TB017823
2025 Honda,Pilot,AWD BLACK EDITION,2025 Pilot - 251259,NEW - 5FNYG1H92SB135489,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_220.PNG,2025 Pilot - 251259,NEW - 5FNYG1H92SB135489,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_220.PNG,2025 Pilot - 251259 - NEW - 5FNYG1H92SB135489
2025 Honda,Pilot,AWD ELITE,2025 Pilot - 251281,NEW - 5FNYG1H8XSB137062,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_221.PNG,2025 Pilot - 251281,NEW - 5FNYG1H8XSB137062,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_221.PNG,2025 Pilot - 251281 - NEW - 5FNYG1H8XSB137062
2025 Honda,Prologue,Touring,2025 Prologue - 251234,NEW - 3GPKHXRJ4SS512313,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_222.PNG,2025 Prologue - 251234,NEW - 3GPKHXRJ4SS512313,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_222.PNG,2025 Prologue - 251234 - NEW - 3GPKHXRJ4SS512313
2025 Honda,Pilot,AWD BLACK EDITION,2025 Pilot - 251239,NEW - 5FNYG1H91SB130252,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_223.PNG,2025 Pilot - 251239,NEW - 5FNYG1H91SB130252,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_223.PNG,2025 Pilot - 251239 - NEW - 5FNYG1H91SB130252
2025 Honda,Pilot,AWD ELITE,2025 Pilot - 251269,NEW - 5FNYG1H81SB136396,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_224.PNG,2025 Pilot - 251269,NEW - 5FNYG1H81SB136396,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_224.PNG,2025 Pilot - 251269 - NEW - 5FNYG1H81SB136396
2025 Honda,Odyssey,EX-L,2025 Odyssey - 251280,NEW - 5FNRL6H67SB074904,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_225.PNG,2025 Odyssey - 251280,NEW - 5FNRL6H67SB074904,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_225.PNG,2025 Odyssey - 251280 - NEW - 5FNRL6H67SB074904
2025 Honda,Odyssey,ELITE,2025 Odyssey - 251301,NEW - 5FNRL6H98SB043073,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_226.PNG,2025 Odyssey - 251301,NEW - 5FNRL6H98SB043073,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_226.PNG,2025 Odyssey - 251301 - NEW - 5FNRL6H98SB043073
2025 Honda,Pilot,AWD TRG,2025 Pilot - 251305,NEW - 5FNYG1H77SB138869,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_227.PNG,2025 Pilot - 251305,NEW - 5FNYG1H77SB138869,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_227.PNG,2025 Pilot - 251305 - NEW - 5FNYG1H77SB138869
2025 Honda,Pilot,AWD TRG,2025 Pilot - 251282,NEW - 5FNYG1H72SB136351,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_228.PNG,2025 Pilot - 251282,NEW - 5FNYG1H72SB136351,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_228.PNG,2025 Pilot - 251282 - NEW - 5FNYG1H72SB136351
2025 Honda,Prologue,AWD EX,2025 Prologue - 250827,NEW - 3GPKHVRJ5SS500272,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_229.PNG,2025 Prologue - 250827,NEW - 3GPKHVRJ5SS500272,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_229.PNG,2025 Prologue - 250827 - NEW - 3GPKHVRJ5SS500272
2025 Honda,Pilot,AWD TRG,2025 Pilot - 251306,NEW - 5FNYG1H76SB128947,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_230.PNG,2025 Pilot - 251306,NEW - 5FNYG1H76SB128947,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_230.PNG,2025 Pilot - 251306 - NEW - 5FNYG1H76SB128947
2025 Honda,Pilot,AWD TRAILSPORT,2025 Pilot - 251283,NEW - 5FNYG1H61SB137367,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_231.PNG,2025 Pilot - 251283,NEW - 5FNYG1H61SB137367,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_231.PNG,2025 Pilot - 251283 - NEW - 5FNYG1H61SB137367
2026 Honda,Passport,TrailSport,2026 Passport - 260001,NEW - 5FNYF9H58TB002204,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_232.PNG,2026 Passport - 260001,NEW - 5FNYF9H58TB002204,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_232.PNG,2026 Passport - 260001 - NEW - 5FNYF9H58TB002204
2026 Honda,Passport,TrailSport,2026 Passport - 260020,NEW - 5FNYF9H54TB005651,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_233.PNG,2026 Passport - 260020,NEW - 5FNYF9H54TB005651,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_233.PNG,2026 Passport - 260020 - NEW - 5FNYF9H54TB005651
2024 Honda,Prologue,AWD EX,2024 Prologue - 240967,NEW - 3GPKHVRJ0RS535005,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_234.PNG,2024 Prologue - 240967,NEW - 3GPKHVRJ0RS535005,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_234.PNG,2024 Prologue - 240967 - NEW - 3GPKHVRJ0RS535005
2020 Honda,CR-V,AWD EX-L,2020 CR-V - 251208A,USED - 5J6RW2H85LL021354,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_235.PNG,2020 CR-V - 251208A,USED - 5J6RW2H85LL021354,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_235.PNG,2020 CR-V - 251208A - USED - 5J6RW2H85LL021354
2021 Honda,Passport,AWD ELITE,2021 Passport - PF1014,USED - 5FNYF8H07MB023366,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_236.PNG,2021 Passport - PF1014,USED - 5FNYF8H07MB023366,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_236.PNG,2021 Passport - PF1014 - USED - 5FNYF8H07MB023366
2024 Honda,Civic Sedan,1.5T 4D TOURING,2024 Civic Sedan - HL1213,USED - 2HGFE1F92RH307977,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_237.PNG,2024 Civic Sedan - HL1213,USED - 2HGFE1F92RH307977,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_237.PNG,2024 Civic Sedan - HL1213 - USED - 2HGFE1F92RH307977
2022 Honda,CR-V,HYBRID EX-L,2022 CR-V - 251100A,USED - 5J6RT6H8XNL046978,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_238.PNG,2022 CR-V - 251100A,USED - 5J6RT6H8XNL046978,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_238.PNG,2022 CR-V - 251100A - USED - 5J6RT6H8XNL046978
2022 Honda,Accord Sedan,1.5T SPORT,2022 Accord Sedan - 251108A,USED - 1HGCV1F37NA103635,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_239.PNG,2022 Accord Sedan - 251108A,USED - 1HGCV1F37NA103635,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_239.PNG,2022 Accord Sedan - 251108A - USED - 1HGCV1F37NA103635
2023 Honda,Civic Sedan,2.0L 4D SPORT,2023 Civic Sedan - PQ1524A,USED - 2HGFE2F51PH549708,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_240.PNG,2023 Civic Sedan - PQ1524A,USED - 2HGFE2F51PH549708,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_240.PNG,2023 Civic Sedan - PQ1524A - USED - 2HGFE2F51PH549708
2023 Honda,Civic Sedan,2.0L 4D SPORT,2023 Civic Sedan - 251086A,USED - 2HGFE2F58PH541508,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_241.PNG,2023 Civic Sedan - 251086A,USED - 2HGFE2F58PH541508,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_241.PNG,2023 Civic Sedan - 251086A - USED - 2HGFE2F58PH541508
2024 Honda,Civic Sedan,2.0L 4D SPORT,2024 Civic Sedan - PF1045,USED - 2HGFE2F58RH523898,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_242.PNG,2024 Civic Sedan - PF1045,USED - 2HGFE2F58RH523898,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_242.PNG,2024 Civic Sedan - PF1045 - USED - 2HGFE2F58RH523898
2023 Honda,Civic Sedan,2.0L 4D SPORT,2023 Civic Sedan - 251008A,USED - 2HGFE2F54PH527069,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_243.PNG,2023 Civic Sedan - 251008A,USED - 2HGFE2F54PH527069,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_243.PNG,2023 Civic Sedan - 251008A - USED - 2HGFE2F54PH527069
2019 Honda,CR-V,AWD Touring,2019 CR-V - PK1579,USED - JHLRW2H93KX005761,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_244.PNG,2019 CR-V - PK1579,USED - JHLRW2H93KX005761,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_244.PNG,2019 CR-V - PK1579 - USED - JHLRW2H93KX005761
2022 Honda,Civic Hatchback,SPORT,2022 Civic Hatchback - PS1216,USED - 19XFL2H88NE018641,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_245.PNG,2022 Civic Hatchback - PS1216,USED - 19XFL2H88NE018641,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_245.PNG,2022 Civic Hatchback - PS1216 - USED - 19XFL2H88NE018641
2023 Honda,Accord Sedan,1.5T LX,2023 Accord Sedan - PS1215,USED - 1HGCY1F26PA052274,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_246.PNG,2023 Accord Sedan - PS1215,USED - 1HGCY1F26PA052274,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_246.PNG,2023 Accord Sedan - PS1215 - USED - 1HGCY1F26PA052274
2024 Honda,Civic Sedan,2.0L 4D SPORT,2024 Civic Sedan - PF1056,USED - 2HGFE2F52RH574149,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_247.PNG,2024 Civic Sedan - PF1056,USED - 2HGFE2F52RH574149,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_247.PNG,2024 Civic Sedan - PF1056 - USED - 2HGFE2F52RH574149
2018 Honda,Accord,Touring,2018 Accord - 251207A,USED - 1HGCV1F91JA065866,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_248.PNG,2018 Accord - 251207A,USED - 1HGCV1F91JA065866,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_248.PNG,2018 Accord - 251207A - USED - 1HGCV1F91JA065866
2019 Honda,Pilot,AWD EX-L,2019 Pilot - 251176A,USED - 5FNYF6H53KB034958,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_249.PNG,2019 Pilot - 251176A,USED - 5FNYF6H53KB034958,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_249.PNG,2019 Pilot - 251176A - USED - 5FNYF6H53KB034958
2021 Honda,CR-V,EX-L,2021 CR-V - 250467A,USED - 7FARW2H85ME012829,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_250.PNG,2021 CR-V - 250467A,USED - 7FARW2H85ME012829,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_250.PNG,2021 CR-V - 250467A - USED - 7FARW2H85ME012829
2009 Honda,Fit,Sport,2009 Fit - PT1274,USED - JHMGE886X9S012549,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_251.PNG,2009 Fit - PT1274,USED - JHMGE886X9S012549,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_251.PNG,2009 Fit - PT1274 - USED - JHMGE886X9S012549
2012 Honda,Civic,LX,2012 Civic - 251145B,USED - 19XFB2F50CE076459,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_252.PNG,2012 Civic - 251145B,USED - 19XFB2F50CE076459,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_252.PNG,2012 Civic - 251145B - USED - 19XFB2F50CE076459
2012 Honda,Civic,EX,2012 Civic - PK1580,USED - 19XFB2F8XCE087690,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_253.PNG,2012 Civic - PK1580,USED - 19XFB2F8XCE087690,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_253.PNG,2012 Civic - PK1580 - USED - 19XFB2F8XCE087690
2026 Honda,Passport,TrailSport Elite,2026 Passport - 260025,NEW - 5FNYF9H82TB017839,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_254.PNG,2026 Passport - 260025,NEW - 5FNYF9H82TB017839,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_254.PNG,2026 Passport - 260025 - NEW - 5FNYF9H82TB017839
2026 Honda,Passport,TrailSport Elite,2026 Passport - 260026,NEW - 5FNYF9H89TB017823,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_255.PNG,2026 Passport - 260026,NEW - 5FNYF9H89TB017823,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_255.PNG,2026 Passport - 260026 - NEW - 5FNYF9H89TB017823
2025 Honda,Pilot,AWD BLACK EDITION,2025 Pilot - 251259,NEW - 5FNYG1H92SB135489,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_256.PNG,2025 Pilot - 251259,NEW - 5FNYG1H92SB135489,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_256.PNG,2025 Pilot - 251259 - NEW - 5FNYG1H92SB135489
2025 Honda,Pilot,AWD ELITE,2025 Pilot - 251281,NEW - 5FNYG1H8XSB137062,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_257.PNG,2025 Pilot - 251281,NEW - 5FNYG1H8XSB137062,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_257.PNG,2025 Pilot - 251281 - NEW - 5FNYG1H8XSB137062
2025 Honda,Prologue,Touring,2025 Prologue - 251234,NEW - 3GPKHXRJ4SS512313,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_258.PNG,2025 Prologue - 251234,NEW - 3GPKHXRJ4SS512313,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_258.PNG,2025 Prologue - 251234 - NEW - 3GPKHXRJ4SS512313
2025 Honda,Pilot,AWD BLACK EDITION,2025 Pilot - 251239,NEW - 5FNYG1H91SB130252,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_259.PNG,2025 Pilot - 251239,NEW - 5FNYG1H91SB130252,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_259.PNG,2025 Pilot - 251239 - NEW - 5FNYG1H91SB130252
2025 Honda,Pilot,AWD ELITE,2025 Pilot - 251269,NEW - 5FNYG1H81SB136396,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_260.PNG,2025 Pilot - 251269,NEW - 5FNYG1H81SB136396,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_260.PNG,2025 Pilot - 251269 - NEW - 5FNYG1H81SB136396
2025 Honda,Odyssey,EX-L,2025 Odyssey - 251280,NEW - 5FNRL6H67SB074904,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_261.PNG,2025 Odyssey - 251280,NEW - 5FNRL6H67SB074904,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_261.PNG,2025 Odyssey - 251280 - NEW - 5FNRL6H67SB074904
2025 Honda,Odyssey,ELITE,2025 Odyssey - 251301,NEW - 5FNRL6H98SB043073,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_262.PNG,2025 Odyssey - 251301,NEW - 5FNRL6H98SB043073,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_262.PNG,2025 Odyssey - 251301 - NEW - 5FNRL6H98SB043073
2025 Honda,Pilot,AWD TRG,2025 Pilot - 251305,NEW - 5FNYG1H77SB138869,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_263.PNG,2025 Pilot - 251305,NEW - 5FNYG1H77SB138869,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_263.PNG,2025 Pilot - 251305 - NEW - 5FNYG1H77SB138869
2025 Honda,Pilot,AWD TRG,2025 Pilot - 251282,NEW - 5FNYG1H72SB136351,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_264.PNG,2025 Pilot - 251282,NEW - 5FNYG1H72SB136351,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_264.PNG,2025 Pilot - 251282 - NEW - 5FNYG1H72SB136351
2025 Honda,Prologue,AWD EX,2025 Prologue - 250827,NEW - 3GPKHVRJ5SS500272,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_265.PNG,2025 Prologue - 250827,NEW - 3GPKHVRJ5SS500272,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_265.PNG,2025 Prologue - 250827 - NEW - 3GPKHVRJ5SS500272
2025 Honda,Pilot,AWD TRG,2025 Pilot - 251306,NEW - 5FNYG1H76SB128947,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_266.PNG,2025 Pilot - 251306,NEW - 5FNYG1H76SB128947,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_266.PNG,2025 Pilot - 251306 - NEW - 5FNYG1H76SB128947
2025 Honda,Pilot,AWD TRAILSPORT,2025 Pilot - 251283,NEW - 5FNYG1H61SB137367,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_267.PNG,2025 Pilot - 251283,NEW - 5FNYG1H61SB137367,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_267.PNG,2025 Pilot - 251283 - NEW - 5FNYG1H61SB137367
2026 Honda,Passport,TrailSport,2026 Passport - 260001,NEW - 5FNYF9H58TB002204,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_268.PNG,2026 Passport - 260001,NEW - 5FNYF9H58TB002204,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_268.PNG,2026 Passport - 260001 - NEW - 5FNYF9H58TB002204
2026 Honda,Passport,TrailSport,2026 Passport - 260020,NEW - 5FNYF9H54TB005651,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_269.PNG,2026 Passport - 260020,NEW - 5FNYF9H54TB005651,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_269.PNG,2026 Passport - 260020 - NEW - 5FNYF9H54TB005651
2024 Honda,Prologue,AWD EX,2024 Prologue - 240967,NEW - 3GPKHVRJ0RS535005,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_270.PNG,2024 Prologue - 240967,NEW - 3GPKHVRJ0RS535005,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_270.PNG,2024 Prologue - 240967 - NEW - 3GPKHVRJ0RS535005
2024 Honda,Prologue,AWD EX,2024 Prologue - 240969,NEW - 3GPKHVRJ3RS542045,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_271.PNG,2024 Prologue - 240969,NEW - 3GPKHVRJ3RS542045,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_271.PNG,2024 Prologue - 240969 - NEW - 3GPKHVRJ3RS542045
2024 Honda,Prologue,AWD EX,2024 Prologue - 240971,NEW - 3GPKHVRJ3RS544863,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_272.PNG,2024 Prologue - 240971,NEW - 3GPKHVRJ3RS544863,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_272.PNG,2024 Prologue - 240971 - NEW - 3GPKHVRJ3RS544863
2024 Honda,Prologue,AWD EX,2024 Prologue - 240950,NEW - 3GPKHVRJ4RS526081,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_273.PNG,2024 Prologue - 240950,NEW - 3GPKHVRJ4RS526081,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_273.PNG,2024 Prologue - 240950 - NEW - 3GPKHVRJ4RS526081
